Agreement,Freedom,Happiness
0.7,8,4.85735625458817
0.7,9,4.99495881268507
0.7,10,3.89298556242914
0.06,1,3.59134973049025
0.06,2,3.80345893010128
0.06,3,3.15076818565515
0.06,4,4.89383293543138
0.06,5,5.34810196768202
0.06,6,5.21683668144108
0.06,7,6.34125935116492
0.06,8,6.37055511995347
0.06,9,7.33061744538549
0.06,10,7.90615345946618
0.7,1,5.71500117436515
0.7,2,5.36706186409306
0.7,3,4.78733707140457
0.7,4,4.60202555296613
0.7,5,4.52188034258881
0.7,6,4.64708779322187
0.7,7,4.77392441531505
0.7,8,5.30379912311799
0.7,9,4.30333252444682
0.7,10,5.29009444162256
0.06,1,3.96989220786562
0.06,2,3.97443165068707
0.06,3,4.48160007524043
0.06,4,5.59772666635023
0.06,5,4.77444031784817
0.06,6,5.50529683919484
0.06,7,5.31571953964703
0.06,8,7.15808430184689
0.06,9,7.53933107183281
0.06,10,8.25400377398315
0.7,1,4.41984254541482
0.7,2,5.02340783174707
0.7,3,4.82760186056884
0.7,4,5.14193304190592
0.7,5,5.29490231559933
0.7,6,5.39450620582514
0.7,7,5.41775987905189
0.7,8,5.11903267918219
0.7,9,4.02025333948512
0.7,10,4.47743089295822
0.06,1,3.14653249886747
0.06,2,2.24887844954336
0.06,3,3.93367957512147
0.06,4,4.22976538129885
0.06,5,5.38623278837945
0.06,6,5.10070276377937
0.06,7,7.24274194712971
0.06,8,5.28723773179771
0.06,9,8.02583141546361
0.06,10,7.61597188413258
0.7,1,5.70005645590109
0.7,2,4.14543319371887
0.7,3,5.11712369827811
0.7,4,4.39545007195397
0.7,5,5.30250144309177
0.7,6,4.58009814890598
0.7,7,4.59710936486142
0.7,8,5.77755639367727
0.7,9,3.87641689263066
0.7,10,4.32162502908076
0.06,1,3.38162916673081
0.06,2,4.05038142255663
0.06,3,3.93807498093001
0.06,4,5.06475243308076
0.06,5,6.05379155034897
0.06,6,5.44707325629813
0.06,7,7.53213301871695
0.06,8,6.40929147429239
0.06,9,7.79687044823662
0.06,10,8.87564319212779
0.7,1,5.09370701290465
0.7,2,4.62977943380985
0.7,3,5.84442139193356
0.7,4,5.86825975974565
0.7,5,4.30740903297568
0.7,6,4.40127299258548
0.7,7,4.60505450562152
0.7,8,5.20918804929841
0.7,9,4.6627939461961
0.7,10,4.04083514776833
0.06,1,3.05886311621099
0.06,2,3.68308432370705
0.06,3,4.62672864424053
0.06,4,5.18924129661311
0.06,5,6.6084170725191
0.06,6,5.78134283553004
0.06,7,6.09864880926536
0.06,8,6.66997905188447
0.06,9,6.6380826111325
0.06,10,8.45779602052939
0.7,1,5.60785828819511
0.7,2,5.51048918269645
0.7,3,4.80410386361518
0.7,4,4.35132209971065
0.7,5,4.49110768747884
0.7,6,4.09704841141586
0.7,7,4.49250742499017
0.7,8,3.38423201054848
0.7,9,5.14974621060571
0.7,10,4.1556003462581
0.06,1,4.16094810395031
0.06,2,3.92625214364697
0.06,3,3.92974649407272
0.06,4,5.10264225496164
0.06,5,4.69503278787343
0.06,6,5.29481166819515
0.06,7,5.8446534143406
0.06,8,5.91897931928228
0.06,9,7.66603836245577
0.06,10,7.39117657559424
0.7,1,5.3653557695826
0.7,2,6.0718985034286
0.7,3,5.03369975050404
0.7,4,5.29043126653667
0.7,5,4.43337692825312
0.7,6,4.65782670337903
0.7,7,4.34495677127624
0.7,8,4.02383217601428
0.7,9,4.75700774106229
0.7,10,5.56087715009034
0.06,1,2.8433269230108
0.06,2,3.64783596556469
0.06,3,3.30474754558367
0.06,4,4.20975849001801
0.06,5,4.6594016023029
0.06,6,6.37889309304235
0.06,7,6.47911774074139
0.06,8,6.84183170836351
0.06,9,6.71486284453698
0.06,10,7.61538233945016
0.7,1,5.1095066553227
0.7,2,4.82450303048062
0.7,3,4.92114300106964
0.7,4,5.66078648739105
0.7,5,4.16807306806715
0.7,6,4.84299818556016
0.7,7,4.51514615322938
0.7,8,4.40789128238815
0.7,9,5.85872451506933
0.7,10,5.26461321791987
0.06,1,3.57985281724423
0.06,2,4.14375920510863
0.06,3,3.9378399928568
0.06,4,4.698631738042
0.06,5,5.09043286535709
0.06,6,5.6055785566206
0.06,7,5.16950430950156
0.06,8,5.66697150173899
0.06,9,7.93019930719622
0.06,10,8.26849261749549
0.7,1,6.21893178369389
0.7,2,4.62080583102993
0.7,3,5.18218469451739
0.7,4,4.80760881078653
0.7,5,4.85614064468204
0.7,6,3.53194494207493
0.7,7,4.14676755622696
0.7,8,5.45107618674926
0.7,9,5.7299741643479
0.7,10,4.82261154095528
0.06,1,3.09555288829353
0.06,2,3.36440304459642
0.06,3,3.87689033592176
0.06,4,4.1147817641283
0.06,5,4.93925596593816
0.06,6,5.31794952052589
0.06,7,6.24461227109393
0.06,8,5.87199143751871
0.06,9,7.40824181724897
0.06,10,8.38164900639553
0.7,1,6.09626186526621
0.7,2,5.3482685200886
0.7,3,5.04011829893974
0.7,4,4.85649195692523
0.7,5,4.65812608357692
0.7,6,4.86321283083634
0.7,7,5.29006484172544
0.7,8,5.59877156052404
0.7,9,4.14205721434709
0.7,10,5.69244861959507
0.06,1,4.14732187108948
0.06,2,4.14018200696986
0.06,3,4.22090248627047
0.06,4,5.78234519269304
0.06,5,6.26550314089412
0.06,6,6.18901879976918
0.06,7,5.54063949522919
0.06,8,5.9051773988407
0.06,9,7.53179652985895
0.06,10,7.34733543750121
0.7,1,5.17367778451701
0.7,2,4.74054084988827
0.7,3,4.8532164471433
0.7,4,4.84307428989575
0.7,5,5.74937719345396
0.7,6,4.62631251776607
0.7,7,5.28053914000947
0.7,8,4.15013944715824
0.7,9,3.72447601622354
0.7,10,4.98812344935707
0.06,1,3.44939903465648
0.06,2,2.2024762063082
0.06,3,4.8887256939299
0.06,4,4.95787055347965
0.06,5,5.84387089852966
0.06,6,6.51304132497674
0.06,7,6.13694808829827
0.06,8,5.9148792278452
0.06,9,8.1149165786982
0.06,10,8.41442141642382
0.7,1,5.24064638637923
0.7,2,5.40385107540637
0.7,3,4.77591343660749
0.7,4,4.96322296923646
0.7,5,4.40212805065706
0.7,6,4.88987823877378
0.7,7,4.57394477657563
0.7,8,4.93289894791569
0.7,9,4.85382310164059
0.7,10,4.74396199927375
0.06,1,2.49171754509259
0.06,2,2.02767822001005
0.06,3,4.39010355098576
0.06,4,4.65203421098584
0.06,5,4.65439577480281
0.06,6,5.11209526973923
0.06,7,5.86313543027563
0.06,8,6.46691792850083
0.06,9,8.09212092915702
0.06,10,7.3653208180471
0.7,1,5.38093664034616
0.7,2,5.45277833198199
0.7,3,4.26167097409435
0.7,4,3.71550426272202
0.7,5,4.41445617924079
0.7,6,4.22679254325121
0.7,7,3.92088011208106
0.7,8,4.57320921607322
0.7,9,4.73848915153104
0.7,10,3.91982579471111
0.06,1,3.24910519470717
0.06,2,3.21919554669781
0.06,3,4.09002036536297
0.06,4,5.09339569002096
0.06,5,5.39154800668342
0.06,6,5.48851476881897
0.06,7,6.5595536135591
0.06,8,6.70492567677899
0.06,9,7.22694046447613
0.06,10,8.455984355034
0.7,1,4.41014660991857
0.7,2,5.05553130018519
0.7,3,5.28857992128827
0.7,4,4.5536112294568
0.7,5,4.77771944610316
0.7,6,4.42595117913616
0.7,7,4.56118541055955
0.7,8,4.03729340951015
0.7,9,5.57179463594713
0.7,10,3.4363483911543
0.06,1,2.99497733489578
0.06,2,2.72484491602553
0.06,3,4.48552245951039
0.06,4,4.75395320837016
0.06,5,4.98187227442363
0.06,6,5.15545878246594
0.06,7,5.71857136791704
0.06,8,6.56989016570338
0.06,9,8.06828112919952
0.06,10,6.72635945054614
0.7,1,4.71690726521009
0.7,2,4.80624878342676
0.7,3,5.35258474775928
0.7,4,5.15831952537868
0.7,5,4.57438657860521
0.7,6,4.82896866534702
0.7,7,4.94820134860399
0.7,8,4.73522305241847
0.7,9,4.12258974748777
0.7,10,4.8494026909322
0.06,1,3.94399501850907
0.06,2,3.07751216989957
0.06,3,3.97863930574474
0.06,4,4.57483114977297
0.06,5,5.57879961484233
0.06,6,5.40572545817045
0.06,7,5.7179353964973
0.06,8,6.77972622069849
0.06,9,7.25050239675875
0.06,10,8.25231326029147
0.7,1,4.171062205305
0.7,2,5.2882320596668
0.7,3,4.73061200006888
0.7,4,5.13182179975998
0.7,5,5.07350160841715
0.7,6,4.53865426430143
0.7,7,4.04637636527219
0.7,8,5.26332019376851
0.7,9,3.92286564495511
0.7,10,3.97555271214614
0.06,1,3.78519282920819
0.06,2,3.22193758957477
0.06,3,4.45551860230139
0.06,4,3.75633403637795
0.06,5,4.43752114376747
0.06,6,5.223293311824
0.06,7,5.58098594725515
0.06,8,6.06666650551044
0.06,9,6.95511428151703
0.06,10,8.44968365309929
0.7,1,4.85550838013106
0.7,2,4.29454010009114
0.7,3,6.32335659530224
0.7,4,4.20617515690679
0.7,5,4.18716985082672
0.7,6,5.55018672540651
0.7,7,4.65093683974549
0.7,8,4.22347337481071
0.7,9,5.05032400343722
0.7,10,4.39106041894403
0.06,1,4.41205273347433
0.06,2,4.09400195095196
0.06,3,5.17152059705717
0.06,4,4.36525411099035
0.06,5,5.14597497126316
0.06,6,6.47379235261422
0.06,7,5.65368094647805
0.06,8,6.94067661465004
0.06,9,7.18001587376918
0.06,10,7.91194715114865
0.7,1,5.58536977026359
0.7,2,5.30421370156466
0.7,3,4.467768546097
0.7,4,4.48876353348726
0.7,5,5.20029084282852
0.7,6,3.95366529714123
0.7,7,4.61393809288942
0.7,8,5.50038594674292
0.7,9,4.44559991466365
0.7,10,4.74595131623415
0.06,1,1.99490562588126
0.06,2,3.18946216540061
0.06,3,4.94368548140922
0.06,4,5.46956279871409
0.06,5,5.50618148130348
0.06,6,6.25647785162585
0.06,7,6.62429363715386
0.06,8,5.94008908658797
0.06,9,6.64779279129505
0.06,10,8.79051489654653
0.7,1,4.82630755392741
0.7,2,4.86627681945248
0.7,3,5.15427614184437
0.7,4,5.13356161766358
0.7,5,5.33139265923406
0.7,6,5.08611526295811
0.7,7,4.47187130899066
0.7,8,4.42920769469133
0.7,9,5.60602710043465
0.7,10,5.0901127641402
0.06,1,2.75370462094463
0.06,2,3.08985338790269
0.06,3,4.30693837447344
0.06,4,4.12239038174948
0.06,5,6.05547518021262
0.06,6,6.13160893351539
0.06,7,5.58441329475616
0.06,8,6.3520691760598
0.06,9,7.72838779437517
0.06,10,6.72252872989542
0.7,1,6.12025255670971
0.7,2,4.82414059998104
0.7,3,4.71440865445871
0.7,4,4.66846404290727
0.7,5,4.48886691730953
0.7,6,6.25357054628201
0.7,7,4.15314287582508
0.7,8,4.31681205377575
0.7,9,3.75735560671168
0.7,10,4.46031004708254
0.06,1,3.39043644743133
0.06,2,4.00352356895201
0.06,3,4.3315526876024
0.06,4,5.31584895759862
0.06,5,4.23885018499639
0.06,6,6.30096254005645
0.06,7,6.05419329713119
0.06,8,7.03908478484839
0.06,9,7.28211679371357
0.06,10,8.26693666135912
0.7,1,5.34328882449044
0.7,2,4.41951152288935
0.7,3,5.1915289537002
0.7,4,5.29064685425554
0.7,5,5.22383095385678
0.7,6,5.71691016668274
0.7,7,5.26088907134464
0.7,8,3.94120795966988
0.7,9,5.20574676463912
0.7,10,3.91596008241745
0.06,1,1.48781272761111
0.06,2,4.06251799198481
0.06,3,3.24236012579236
0.06,4,4.74168926980529
0.06,5,6.41709141645832
0.06,6,5.81836211987681
0.06,7,6.99250926661099
0.06,8,6.22932331403002
0.06,9,7.90206620896658
0.06,10,8.72101851612149
0.7,1,4.96489334908755
0.7,2,4.51196004591485
0.7,3,5.48108262566955
0.7,4,5.54523390023604
0.7,5,4.62435015617086
0.7,6,5.35975842998136
0.7,7,4.63185898495525
0.7,8,4.22677243105946
0.7,9,4.01298093839022
0.7,10,3.88468438728731
0.06,1,3.98228803306913
0.06,2,3.31398262511683
0.06,3,5.31413605592808
0.06,4,4.42484136363788
0.06,5,4.52131537549196
0.06,6,5.38091417438049
0.06,7,6.0580176802042
0.06,8,7.16644054782313
0.06,9,7.24007974133629
0.06,10,7.50052982262692
0.7,1,5.66048646094721
0.7,2,5.16772835155406
0.7,3,5.23241821070982
0.7,4,4.99772000606904
0.7,5,4.98746922472296
0.7,6,4.00684642068878
0.7,7,4.48301834533088
0.7,8,5.62536261393275
0.7,9,4.19998691815251
0.7,10,4.96994225507803
0.06,1,3.25163761931687
0.06,2,4.03583044210071
0.06,3,3.61130616530231
0.06,4,4.46795511017262
0.06,5,5.54032600300765
0.06,6,6.29884963420714
0.06,7,6.48406176847294
0.06,8,7.13329837246853
0.06,9,7.92097226514065
0.06,10,8.29674198847845
0.7,1,5.05098575523582
0.7,2,4.70965795700365
0.7,3,5.90942106118565
0.7,4,5.48993854299821
0.7,5,5.02638257977807
0.7,6,5.50722015530801
0.7,7,5.22805774862803
0.7,8,5.17091337674125
0.7,9,4.20078290875986
0.7,10,5.06897568518783
0.06,1,3.59920119236763
0.06,2,4.34262855814912
0.06,3,4.10663016212994
0.06,4,4.83394750570727
0.06,5,5.09139186056217
0.06,6,4.44758543835585
0.06,7,5.75118306081991
0.06,8,7.44897869868813
0.06,9,7.83197881899795
0.06,10,7.54673265415409
0.7,1,5.36965570160489
0.7,2,5.47160559045878
0.7,3,4.94485628493519
0.7,4,5.22184777056746
0.7,5,5.02194716801238
0.7,6,4.39603497399889
0.7,7,4.17236075772321
0.7,8,4.48065948283539
0.7,9,5.00181058595066
0.7,10,5.00042811506771
0.06,1,3.00436299624275
0.06,2,4.42436891812641
0.06,3,4.60915051366367
0.06,4,4.61594437666401
0.06,5,5.27376254152514
0.06,6,5.4934526830255
0.06,7,6.01910070795607
0.06,8,7.14491644441244
0.06,9,7.49039517637181
0.06,10,8.06877149945671
0.7,1,5.09072322401644
0.7,2,5.63155158753205
0.7,3,5.75358363731318
0.7,4,6.49220598185535
0.7,5,5.49960734500017
0.7,6,5.18532374071586
0.7,7,4.58348080527981
0.7,8,5.08988612713338
0.7,9,5.02851159515803
0.7,10,5.10298891056747
0.06,1,2.14203225868833
0.06,2,4.46760337636645
0.06,3,1.98432741625437
0.06,4,4.90546762366685
0.06,5,5.66811111951383
0.06,6,5.34333588660767
0.06,7,6.45207597960685
0.06,8,6.62180019110208
0.06,9,6.68069725121587
0.06,10,8.14450535378434
0.7,1,4.99523895443173
0.7,2,4.28366686942953
0.7,3,5.88999797369973
0.7,4,5.27590246099658
0.7,5,4.95110383243041
0.7,6,4.07641928696697
0.7,7,4.5662431567848
0.7,8,4.95001222296574
0.7,9,3.88508476056513
0.7,10,4.05280192681305
0.06,1,3.24868005857545
0.06,2,3.10776121174098
0.06,3,4.49499588866053
0.06,4,5.27364239217843
0.06,5,5.12642923092023
0.06,6,6.17858216581084
0.06,7,5.91085969925814
0.06,8,7.4093347076895
0.06,9,6.38833827939748
0.06,10,8.37464659434091
0.7,1,6.39074632208932
0.7,2,5.91565278141789
0.7,3,4.0511031939534
0.7,4,4.23701865438659
0.7,5,5.06789500863121
0.7,6,4.97262893648289
0.7,7,4.51919652274173
0.7,8,4.51395703485813
0.7,9,4.63349540016004
0.7,10,3.57980054017696
0.06,1,3.17896522053944
0.06,2,2.92916182130862
0.06,3,3.73583038439488
0.06,4,3.23026767997243
0.06,5,4.93699446093002
0.06,6,5.21663741744146
0.06,7,6.69520311532446
0.06,8,7.17548090453874
0.06,9,6.93062963856755
0.06,10,8.57505243527285
0.7,1,4.56977635582778
0.7,2,4.87734874028651
0.7,3,5.22288393890052
0.7,4,5.02252546470353
0.7,5,4.36021845038516
0.7,6,4.1431722552863
0.7,7,4.89295501226922
0.7,8,5.2108690193956
0.7,9,4.48853751170019
0.7,10,4.36793561407524
0.06,1,2.95598731756963
0.06,2,4.08401227302408
0.06,3,3.85031651867164
0.06,4,5.82744662107896
0.06,5,4.57814392418124
0.06,6,5.51601163793387
0.06,7,7.25278341898728
0.06,8,6.54254313461556
0.06,9,7.04054800144208
0.06,10,6.99820020685855
0.7,1,4.25718099802487
0.7,2,5.74595079089807
0.7,3,5.63198198341984
0.7,4,5.32312362060843
0.7,5,4.81459518889212
0.7,6,5.92582024450792
0.7,7,6.00205749155668
0.7,8,3.62102792426822
0.7,9,4.86552600469001
0.7,10,4.31724431497573
0.06,1,3.88313406735367
0.06,2,4.12393804015064
0.06,3,4.6148575414529
0.06,4,3.95395934449642
0.06,5,5.81885183819855
0.06,6,6.45991009442272
0.06,7,6.87517124968585
0.06,8,8.03997784961787
0.06,9,7.38290587956702
0.06,10,7.75091264029947
0.7,1,4.38479342097865
0.7,2,4.73309757954063
0.7,3,5.92441967307489
0.7,4,3.81466620878294
0.7,5,5.77278910162083
0.7,6,4.90429958434595
0.7,7,5.67518770807334
0.7,8,4.28986207977049
0.7,9,5.20421999190403
0.7,10,4.51876106545571
0.06,1,2.915351205134
0.06,2,3.44899235273208
0.06,3,3.46460706811716
0.06,4,4.48450547143349
0.06,5,4.79964201851222
0.06,6,6.49237481080591
0.06,7,6.35685387886292
0.06,8,6.94872444055506
0.06,9,7.78078510596757
0.06,10,8.0605469060152
0.7,1,5.43031902423637
0.7,2,5.71224474997368
0.7,3,4.66434568655744
0.7,4,4.74863205064171
0.7,5,4.10612287172082
0.7,6,5.40583982224591
0.7,7,4.95665105017992
0.7,8,4.89637485590058
0.7,9,5.09973037478438
0.7,10,4.11736052340639
0.06,1,3.27447085143324
0.06,2,3.5832137556478
0.06,3,3.87454412865036
0.06,4,4.90634156565707
0.06,5,4.86995957388787
0.06,6,4.94162992847617
0.06,7,5.85689148901442
0.06,8,7.00553352590942
0.06,9,7.67247984837693
0.06,10,8.78218761684892
0.7,1,7.4231370300649
0.7,2,3.54098399509115
0.7,3,4.36382343166415
0.7,4,5.55459323650414
0.7,5,6.32271911368637
0.7,6,3.58476930925393
0.7,7,3.75540921890756
0.7,8,4.20877236018202
0.7,9,4.26654681160031
0.7,10,4.76413278997961
0.06,1,2.05160582616308
0.06,2,3.12426515675422
0.06,3,4.23620230359388
0.06,4,4.29423854246269
0.06,5,6.4488536652711
0.06,6,5.44877660661971
0.06,7,6.29192287065598
0.06,8,6.91733352840093
0.06,9,7.22301865886664
0.06,10,6.96935973514773
0.7,1,5.48339831680587
0.7,2,5.09159489803721
0.7,3,4.94573047192947
0.7,4,4.76185196678686
0.7,5,5.23828125706861
0.7,6,4.27757684899994
0.7,7,4.29699473972649
0.7,8,4.40561590924148
0.7,9,4.08919272408997
0.7,10,5.03651117818851
0.06,1,2.36748437556325
0.06,2,3.06075223763775
0.06,3,4.40221029341816
0.06,4,4.41600420897694
0.06,5,5.46696797044262
0.06,6,4.69642242449057
0.06,7,6.79197129705124
0.06,8,7.05735235088355
0.06,9,7.28665039822282
0.06,10,7.55344560907049
0.7,1,4.96806497492541
0.7,2,5.30408736496523
0.7,3,5.01258878295865
0.7,4,6.39955931603728
0.7,5,4.85661091251183
0.7,6,4.86361886336362
0.7,7,5.43194735773376
0.7,8,4.07792392578935
0.7,9,3.61851734105075
0.7,10,5.34307451851024
0.06,1,3.67104207832321
0.06,2,3.36923833290731
0.06,3,3.40249081436208
0.06,4,4.70551891713237
0.06,5,4.99798192317781
0.06,6,5.07379994543448
0.06,7,6.29761880716635
0.06,8,6.19099055535606
0.06,9,7.70581406373899
0.06,10,8.28314246341261
0.7,1,6.49106596517044
0.7,2,5.77173136664537
0.7,3,5.96460404880076
0.7,4,5.40766326996543
0.7,5,4.34693635971236
0.7,6,5.26228556379407
0.7,7,4.08773048335931
0.7,8,4.90487723139983
0.7,9,4.74035106315542
0.7,10,4.9323841981104
0.06,1,3.09908850205995
0.06,2,2.96282659949976
0.06,3,4.17902548034046
0.06,4,3.81581043007039
0.06,5,4.88844903416722
0.06,6,5.69522424946583
0.06,7,6.45607425459749
0.06,8,6.36781084663102
0.06,9,7.79377262861592
0.06,10,8.01815363688681
0.7,1,5.63533714100708
0.7,2,5.58579681310141
0.7,3,4.98843042882851
0.7,4,4.7838213245575
0.7,5,5.08700867894504
0.7,6,4.41987916029256
0.7,7,4.97399974292756
0.7,8,4.83515214599497
0.7,9,4.42063890875444
0.7,10,5.34919934324784
0.06,1,2.72329907365875
0.06,2,3.2289416963764
0.06,3,4.04657808239933
0.06,4,3.86397440479989
0.06,5,5.26423443333649
0.06,6,5.34148733360588
0.06,7,6.27517493908191
0.06,8,6.38438400693757
0.06,9,6.88162848526101
0.06,10,8.14678809689009
0.7,1,5.79326664043541
0.7,2,5.17903085446731
0.7,3,5.76374071072687
0.7,4,5.19688200066221
0.7,5,4.97005342446472
0.7,6,4.37830393101249
0.7,7,5.49286574050016
0.7,8,4.92655024111822
0.7,9,4.29075140377252
0.7,10,5.20990009796895
0.06,1,2.42286837557196
0.06,2,3.38828123155208
0.06,3,3.19060171522825
0.06,4,4.75354150560109
0.06,5,5.5775832829476
0.06,6,5.7169061827946
0.06,7,6.98355440806144
0.06,8,6.16053314576991
0.06,9,7.76825095492277
0.06,10,8.7901190802797
0.7,1,6.26461570344613
0.7,2,5.95374888010781
0.7,3,4.80077336710051
0.7,4,4.89395341402907
0.7,5,4.31498675633692
0.7,6,5.12587637732161
0.7,7,4.09113285615284
0.7,8,4.4121510924785
0.7,9,5.15075827651822
0.7,10,4.01813102841129
0.06,1,2.95572198615739
0.06,2,2.37557291028792
0.06,3,3.26318857895956
0.06,4,4.22411042549998
0.06,5,5.67836681475768
0.06,6,5.29275019534245
0.06,7,6.02964641023799
0.06,8,6.79507813592215
0.06,9,8.46902515452777
0.06,10,7.68917026589285
0.7,1,6.18514581309858
0.7,2,5.8629549272545
0.7,3,5.87756999626805
0.7,4,6.0298778343544
0.7,5,5.57479101923209
0.7,6,4.55536299316084
0.7,7,5.55980419910628
0.7,8,4.25199296329864
0.7,9,4.99367432386862
0.7,10,3.35163151909039
0.06,1,2.49470887670887
0.06,2,4.49957644140423
0.06,3,4.25437018402394
0.06,4,3.59816264628549
0.06,5,4.17675242828753
0.06,6,5.65364003457895
0.06,7,6.76432914253985
0.06,8,5.94963483807728
0.06,9,6.50473094447096
0.06,10,6.7547829771336
0.7,1,4.29466682284368
0.7,2,5.59546887510334
0.7,3,4.90908897008709
0.7,4,5.00904999739762
0.7,5,4.37180056873546
0.7,6,5.06328063196118
0.7,7,4.55237328574211
0.7,8,4.51803290641539
